"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","55 years and over","Current dollars","75","units","0","v1063665270","7.3.2.1.2.4","1425.09","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1209.20","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1186.17","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1269.79","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1337.63","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1373.85","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1443.97","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1483.91","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1579.75","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1550.09","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1611.41","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1636.14","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1632.84","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1820.38","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1769.50","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1730.85","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1821.23","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1852.02","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1936.43","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","1881.78","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","2055.53","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","2058.10","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","2036.49","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","2074.34","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","2217.39","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","55 years and over","Current dollars","75","units","0","v1063665282","7.3.2.2.2.4","2274.13","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","1417.45","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","1878.36","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2227.77","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","1891.55","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2079.86","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2538.62","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","1993.24","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","1817.27","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","","x","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2460.84","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2436.08","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2036.33","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2249.24","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2511.64","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2522.75","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2460.18","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2796.50","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","55 years and over","Current dollars","75","units","0","v1063665294","7.3.2.3.2.4","2705.81","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1207.11","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1213.96","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1417.50","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1399.85","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1441.19","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1491.60","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1528.85","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1595.15","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1579.37","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1622.74","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1712.81","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1681.34","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1901.51","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1802.89","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1771.19","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1866.30","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1922.51","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1993.77","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","1976.48","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","2140.41","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","2182.90","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","2034.39","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","2100.98","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","2289.84","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","55 years and over","Current dollars","75","units","0","v1063665306","7.3.2.4.2.4","2355.75","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","","x","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","996.47","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1062.80","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1211.08","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1254.66","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1144.60","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1192.39","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1442.73","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1320.35","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1322.02","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1481.08","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1401.82","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1443.29","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1574.58","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1481.45","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1672.09","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1522.87","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1543.08","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1588.93","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1922.73","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1845.79","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","1836.77","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","2067.17","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","2025.73","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","55 years and over","Current dollars","75","units","0","v1063665318","7.3.2.5.2.4","2162.39","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","1440.71","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","","x","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","1738.27","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","55 years and over","Current dollars","75","units","0","v1063665330","7.3.2.6.2.4","1693.48","","","","2"
