"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1234.35","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1250.33","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1283.03","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1314.85","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1388.65","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Current dollars","75","units","0","v1063665269","7.3.2.1.2.3","1427.36","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1083.88","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1067.09","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1176.71","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1237.41","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1301.13","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1304.34","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1350.84","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1378.63","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1375.88","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1437.40","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1513.36","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1554.93","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1543.27","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1585.05","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1583.81","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1639.31","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1649.06","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1699.55","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1783.70","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1840.51","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1844.40","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1894.62","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1944.99","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","1997.75","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Management occupations [0]","Males","25 to 54 years","Current dollars","75","units","0","v1063665281","7.3.2.2.2.3","2127.06","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1465.65","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1372.28","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1556.35","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1625.02","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1613.11","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1559.71","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1816.64","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1792.68","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1765.00","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1792.93","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1918.56","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2017.20","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1966.81","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2086.54","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2082.93","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2058.43","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2117.54","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","1978.61","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2325.24","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2229.78","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2172.79","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2392.81","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2580.65","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2655.12","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Senior management occupations [00]","Males","25 to 54 years","Current dollars","75","units","0","v1063665293","7.3.2.3.2.3","2621.00","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1140.65","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1139.37","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1249.28","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1336.48","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1385.01","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1446.78","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1415.37","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1490.26","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1461.55","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1513.24","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1622.69","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1670.10","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1609.90","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1665.59","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1654.49","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1789.46","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1809.55","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1826.62","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1898.35","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1993.51","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1933.63","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1984.45","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","1977.35","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","2109.54","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Specialized middle management occupations [01-05]","Males","25 to 54 years","Current dollars","75","units","0","v1063665305","7.3.2.4.2.3","2241.37","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","930.03","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","893.79","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","960.97","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","967.60","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1143.76","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1083.84","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1105.45","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1120.79","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1203.32","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1244.05","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1276.81","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1330.85","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1327.78","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1323.47","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1378.62","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1404.94","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1321.17","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1468.73","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1550.86","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1614.50","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1585.24","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1637.39","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1732.38","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1707.31","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Males","25 to 54 years","Current dollars","75","units","0","v1063665317","7.3.2.5.2.3","1822.47","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","988.37","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","996.12","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1145.99","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1198.84","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1226.47","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1238.11","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1356.60","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1295.07","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1304.09","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1420.01","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1424.87","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1480.96","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Males","25 to 54 years","Current dollars","75","units","0","v1063665329","7.3.2.6.2.3","1556.51","","","","2"
