"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","798.98","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","822.56","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","837.96","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","865.09","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","973.59","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","881.52","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","987.44","","","","2"
"2010","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","990.13","","","","2"
"2011","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1069.49","","","","2"
"2012","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1030.09","","","","2"
"2013","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1148.99","","","","2"
"2014","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1179.49","","","","2"
"2015","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1296.50","","","","2"
"2016","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1239.25","","","","2"
"2017","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1288.49","","","","2"
"2018","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1168.72","","","","2"
"2019","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1223.95","","","","2"
"2020","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1271.58","","","","2"
"2021","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in retail and wholesale trade and customer services [06]","Females","25 to 54 years","Current dollars","75","units","0","v1063665321","7.3.2.5.3.3","1423.05","","","","2"
"1997","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","829.63","","","","2"
"1998","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","779.04","","","","2"
"1999","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","861.83","","","","2"
"2000","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","977.13","","","","2"
"2001","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","898.70","","","","2"
"2002","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1069.80","","","","2"
"2003","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","981.16","","","","2"
"2004","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1133.74","","","","2"
"2005","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1055.24","","","","2"
"2006","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1146.28","","","","2"
"2007","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1115.93","","","","2"
"2008","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1108.84","","","","2"
"2009","Ontario","2016A000235","Average weekly wage rate","Full-time employees","Middle management occupations in trades, transportation, production and utilities [07-09]","Females","25 to 54 years","Current dollars","75","units","0","v1063665333","7.3.2.6.3.3","1281.29","","","","2"
